1.png, Put food on the plate .
1032.png,Get something from the refrigerator .
1033.png,Get something from the refrigerator .
1034.png,Get something from the refrigerator .
1039.png,Opening food packaging with a knife .
1040.png,Opening food packaging with a knife .
1041.png,Opening food packaging with a knife .
1042.png,Opening food packaging with a knife .
1043.png,Opening food packaging with a knife .
1044.png,Opening food packaging with a knife .
1045.png,Opening food packaging with a knife .
1046.png,Unpacking food .
1047.png,Unpacking food .
1048.png,Unpacking food .
1049.png,Unpacking food .
1050.png,Unpacking food .
1051.png,Unpacking food .
1052.png,Unpacking food .
1053.png,Unpacking food .
1054.png,Unpacking food .
1055.png,Unpacking food .
1056.png,Unpacking food .
1057.png,Unpacking food .
1058.png,Unpacking food .
1059.png,Unpacking food .
1060.png,Unpacking food .
1061.png,Unpacking food .
1062.png,Unpacking food .
1063.png,Unpacking food .
1064.png,Unpacking food .
1065.png,Unpacking food .
1066.png,Unpacking food .
1067.png,Unpacking food .
1068.png,Use paper towels .
1069.png,Use paper towels .
1070.png,Use paper towels .
1071.png,Use paper towels .
1072.png,Use paper towels .
1079.png,Use paper towels .
1080.png,Use paper towels .
1081.png,Use paper towels .
1082.png,Dry food on paper towels .
1083.png,Dry food on paper towels .
1084.png,Dry food on paper towels .
1085.png,Dry food on paper towels .
1086.png,Dry food on paper towels .
1087.png,Dry food on paper towels .
1088.png,Dry food on paper towels .
1089.png,Dry food on paper towels .
1090.png,Dry food on paper towels .
1091.png,Dry food on paper towels .
1092.png,Dry food on paper towels .
1093.png,Dry food on paper towels .
1094.png,Dry food on paper towels .
1095.png,Dry food on paper towels .
1096.png,Dry food on paper towels .
1097.png,Dry food on paper towels .
1098.png,Dry food on paper towels .
1099.png,Dry food on paper towels .
1100.png,Dry food on paper towels .
1101.png,Dry food on paper towels .
1102.png,Dry food on paper towels .
1103.png,Dry food on paper towels .
1104.png,Dry food on paper towels .
1105.png,Dry food on paper towels .
1106.png,Dry food on paper towels .
1107.png,Dry food on paper towels .
1108.png,Dry food on paper towels .
1109.png,Dry food on paper towels .
1110.png,Dry food on paper towels .
1111.png,Dry food on paper towels .
1112.png,Dry food on paper towels .
1113.png,Dry food on paper towels .
1114.png,Dry food on paper towels .
1115.png,Dry food on paper towels .
1116.png,Dry food on paper towels .
1117.png,Dry food on paper towels .
1118.png,Dry food on paper towels .
1119.png,Dry food on paper towels .
1120.png,Dry food on paper towels .
1122.png,Throw things in the trash .
1123.png,Throw things in the trash .
1124.png,Throw things in the trash .
1127.png,Put food in a plastic bag .
1128.png,Put food in a plastic bag .
1129.png,Put food in a plastic bag .
1130.png,Put food in a plastic bag .
1131.png,Put food in a plastic bag .
1132.png,Put food in a plastic bag .
1139.png,Take out the food with a spoon .
1140.png,Take out the food with a spoon .
1141.png,Take out the food with a spoon .
1142.png,Take out the food with a spoon .
1143.png,Take out the food with a spoon .
1144.png,Take out the food with a spoon .
1145.png,Take out the food with a spoon .
1146.png,Take out the food with a spoon .
1147.png,Take out the food with a spoon .
1148.png,Take out the food with a spoon .
1149.png,Take out the food with a spoon .
1150.png,Take out the food with a spoon .
1151.png,Take out the food with a spoon .
1152.png,Take out the food with a spoon .
1153.png,Take out the food with a spoon .
1154.png,Take out the food with a spoon .
1155.png,Take out the food with a spoon .
1156.png,Take out the food with a spoon .
1157.png,Take out the food with a spoon .
1158.png,Take out the food with a spoon .
1159.png,Take out the food with a spoon .
1160.png,Take out the food with a spoon .
1161.png,Take out the food with a spoon .
1162.png,Take out the food with a spoon .
1163.png,Take out the food with a spoon .
1164.png,Take out the food with a spoon .
1170.png,Put food in the refrigerator .
1176.png,Knead the food in the plastic bag .
1177.png,Knead the food in the plastic bag .
1178.png,Knead the food in the plastic bag .
1179.png,Knead the food in the plastic bag .
1180.png,Knead the food in the plastic bag .
1181.png,Knead the food in the plastic bag .
1182.png,Knead the food in the plastic bag .
1183.png,Knead the food in the plastic bag .
1184.png,Knead the food in the plastic bag .
1185.png,Knead the food in the plastic bag .
1186.png,Knead the food in the plastic bag .
1187.png,Knead the food in the plastic bag .
1188.png,Knead the food in the plastic bag .
1189.png,Knead the food in the plastic bag .
1190.png,Knead the food in the plastic bag .
1191.png,Knead the food in the plastic bag .
1192.png,Knead the food in the plastic bag .
1193.png,Knead the food in the plastic bag .
1194.png,Knead the food in the plastic bag .
1195.png,Knead the food in the plastic bag .
1196.png,Knead the food in the plastic bag .
1197.png,Knead the food in the plastic bag .
1198.png,Knead the food in the plastic bag .
1199.png,Knead the food in the plastic bag .
1200.png,Knead the food in the plastic bag .
1201.png,Knead the food in the plastic bag .
1202.png,Knead the food in the plastic bag .
1203.png,Knead the food in the plastic bag .
1204.png,Knead the food in the plastic bag .
1205.png,Knead the food in the plastic bag .
1206.png,Knead the food in the plastic bag .
1207.png,Knead the food in the plastic bag .
1208.png,Knead the food in the plastic bag .
1209.png,Knead the food in the plastic bag .
1210.png,Knead the food in the plastic bag .
1211.png,Knead the food in the plastic bag .
1212.png,Knead the food in the plastic bag .
1213.png,Knead the food in the plastic bag .
1214.png,Knead the food in the plastic bag .
1215.png,Knead the food in the plastic bag .
1216.png,Knead the food in the plastic bag .
1217.png,Knead the food in the plastic bag .
1218.png,Knead the food in the plastic bag .
1219.png,Knead the food in the plastic bag .
1220.png,Knead the food in the plastic bag .
1221.png,Knead the food in the plastic bag .
1222.png,Knead the food in the plastic bag .
1223.png,Knead the food in the plastic bag .
1224.png,Knead the food in the plastic bag .
1225.png,Knead the food in the plastic bag .
1226.png,Knead the food in the plastic bag .
1227.png,Knead the food in the plastic bag .
1228.png,Knead the food in the plastic bag .
1229.png,Knead the food in the plastic bag .
1230.png,Knead the food in the plastic bag .
1231.png,Knead the food in the plastic bag .
1232.png,Knead the food in the plastic bag .
1233.png,Knead the food in the plastic bag .
1234.png,Knead the food in the plastic bag .
1235.png,Knead the food in the plastic bag .
1236.png,Knead the food in the plastic bag .
1237.png,Knead the food in the plastic bag .
1238.png,Knead the food in the plastic bag .
1239.png,Knead the food in the plastic bag .
1240.png,Knead the food in the plastic bag .
1241.png,Knead the food in the plastic bag .
1242.png,Knead the food in the plastic bag .
1243.png,Knead the food in the plastic bag .
1244.png,Knead the food in the plastic bag .
1245.png,Knead the food in the plastic bag .
1246.png,Knead the food in the plastic bag .
1247.png,Knead the food in the plastic bag .
1248.png,Knead the food in the plastic bag .
1249.png,Knead the food in the plastic bag .
1250.png,Knead the food in the plastic bag .
1251.png,Knead the food in the plastic bag .
1252.png,Knead the food in the plastic bag .
1253.png,Knead the food in the plastic bag .
1254.png,Knead the food in the plastic bag .
1255.png,Knead the food in the plastic bag .
1256.png,Knead the food in the plastic bag .
1257.png,Knead the food in the plastic bag .
1258.png,Knead the food in the plastic bag .
1259.png,Knead the food in the plastic bag .
1260.png,Knead the food in the plastic bag .
1262.png,Take out kitchenware from the cupboard .
1263.png,Take out kitchenware from the cupboard .
1264.png,Take out kitchenware from the cupboard .
1265.png,Various kitchen utensils are placed on the stove .
1266.png,Various kitchen utensils are placed on the stove .
1267.png,Various kitchen utensils are placed on the stove .
1268.png,Various kitchen utensils are placed on the stove .
1269.png,Various kitchen utensils are placed on the stove .
1272.png,Various kitchen utensils are placed on the stove .
1273.png,Various kitchen utensils are placed on the stove .
1274.png,Various kitchen utensils are placed on the stove .
1275.png,Various kitchen utensils are placed on the stove .
1276.png,Various kitchen utensils are placed on the stove .
1277.png,Various kitchen utensils are placed on the stove .
1278.png,Various kitchen utensils are placed on the stove .
1279.png,Various kitchen utensils are placed on the stove .
1280.png,Various kitchen utensils are placed on the stove .
1281.png,Various kitchen utensils are placed on the stove .
1282.png,Various kitchen utensils are placed on the stove .
1283.png,Various kitchen utensils are placed on the stove .
1284.png,Various kitchen utensils are placed on the stove .
1285.png,Pour oil into the pan .
1286.png,Pour oil into the pan .
1287.png,Various kitchen utensils are placed on the stove .
1288.png,Pour oil into the pan .
1289.png,Kneading the food in the fresh-keeping bag .
1290.png,Kneading the food in the fresh-keeping bag .
1291.png,Kneading the food in the fresh-keeping bag .
1292.png,Kneading the food in the fresh-keeping bag .
1293.png,Kneading the food in the fresh-keeping bag .
1294.png,Kneading the food in the fresh-keeping bag .
1295.png,Kneading the food in the fresh-keeping bag .
1296.png,Kneading the food in the fresh-keeping bag .
1297.png,Kneading the food in the fresh-keeping bag .
1298.png,Kneading the food in the fresh-keeping bag .
1299.png,Kneading the food in the fresh-keeping bag .
1300.png,Kneading the food in the fresh-keeping bag .
1301.png,Kneading the food in the fresh-keeping bag .
1302.png,Kneading the food in the fresh-keeping bag .
1303.png,Kneading the food in the fresh-keeping bag .
1304.png,Kneading the food in the fresh-keeping bag .
1305.png,Kneading the food in the fresh-keeping bag .
1306.png,Kneading the food in the fresh-keeping bag .
1307.png,Kneading the food in the fresh-keeping bag .
1308.png,Kneading the food in the fresh-keeping bag .
1309.png,Kneading the food in the fresh-keeping bag .
1310.png,Kneading the food in the fresh-keeping bag .
1311.png,Kneading the food in the fresh-keeping bag .
1312.png,Kneading the food in the fresh-keeping bag .
1313.png,Various kitchen utensils are placed on the stove .
1314.png,Various kitchen utensils are placed on the stove .
1315.png,Various kitchen utensils are placed on the stove .
1316.png,Various kitchen utensils are placed on the stove .
1317.png,Various kitchen utensils are placed on the stove .
1319.png,Take something from the refrigerator .
1320.png,Take something from the refrigerator .
1321.png,Various kitchen utensils are placed on the stove .
1322.png,Various kitchen utensils are placed on the stove .
1323.png,Various kitchen utensils are placed on the stove .
1324.png,Various kitchen utensils are placed on the stove .
1325.png,Various kitchen utensils are placed on the stove .
1326.png,Various kitchen utensils are placed on the stove .
1327.png,Use a spoon to scoop food out of the bag .
1328.png,Use a spoon to scoop food out of the bag .
1329.png,Use a spoon to scoop food out of the bag .
1330.png,Use a spoon to scoop food out of the bag .
1331.png,Use a spoon to scoop food out of the bag .
1332.png,Use a spoon to scoop food out of the bag .
1333.png,Use a spoon to scoop food out of the bag .
1334.png,Use a spoon to scoop food out of the bag .
1335.png,Use a spoon to scoop food out of the bag .
1336.png,Use a spoon to scoop food out of the bag .
1337.png,Use a spoon to scoop food out of the bag .
1338.png,Use a spoon to scoop food out of the bag .
1339.png,Take the food to the refrigerator .
1340.png,Take the food to the refrigerator .
1341.png,Take the food to the refrigerator .
1342.png,Take the food to the refrigerator .
1343.png,Take something from the refrigerator .
1345.png,Kneading the food in the fresh-keeping bag .
1346.png,Kneading the food in the fresh-keeping bag .
1347.png,Kneading the food in the fresh-keeping bag .
1348.png,Kneading the food in the fresh-keeping bag .
1349.png,Kneading the food in the fresh-keeping bag .
1350.png,Kneading the food in the fresh-keeping bag .
1351.png,Kneading the food in the fresh-keeping bag .
1352.png,Kneading the food in the fresh-keeping bag .
1353.png,Kneading the food in the fresh-keeping bag .
1354.png,Kneading the food in the fresh-keeping bag .
1355.png,Kneading the food in the fresh-keeping bag .
1356.png,Kneading the food in the fresh-keeping bag .
1357.png,Kneading the food in the fresh-keeping bag .
1358.png,Kneading the food in the fresh-keeping bag .
1359.png,Kneading the food in the fresh-keeping bag .
1360.png,Kneading the food in the fresh-keeping bag .
1361.png,Kneading the food in the fresh-keeping bag .
1362.png,Kneading the food in the fresh-keeping bag .
1363.png,Kneading the food in the fresh-keeping bag .
1364.png,Kneading the food in the fresh-keeping bag .
1365.png,Kneading the food in the fresh-keeping bag .
1366.png,Kneading the food in the fresh-keeping bag .
1367.png,Kneading the food in the fresh-keeping bag .
1368.png,Kneading the food in the fresh-keeping bag .
1369.png,Kneading the food in the fresh-keeping bag .
1370.png,Kneading the food in the fresh-keeping bag .
1371.png,Open the bag and take out the food .
1372.png,Open the bag and take out the food .
1373.png,Open the bag and take out the food .
1374.png,Open the bag and take out the food .
1375.png,Open the bag and take out the food .
1376.png,Open the bag and take out the food .
1377.png,Open the bag and take out the food .
1378.png,Shape food with your hands .
1379.png,Shape food with your hands .
1380.png,Shape food with your hands .
1381.png,Shape food with your hands .
1382.png,Shape food with your hands .
1383.png,Shape food with your hands .
1384.png,Shape food with your hands .
1385.png,Shape food with your hands .
1386.png,Shape food with your hands .
1387.png,Put food in the pot .
1388.png,Put food in the pot .
1389.png,Put food in the pot .
1391.png,Walk to the pool .
1392.png,Walk to the pool .
1393.png,Walk to the pool .
1394.png,Walk to the pool .
1395.png,Walk to the pool .
1396.png,Walk to the pool .
1397.png,Walk to the pool .
1398.png,Walk to the pool .
1399.png,Walk to the pool .
1400.png,Walk to the pool .
1401.png,Various kitchen utensils are placed on the stove .
1402.png,Various kitchen utensils are placed on the stove .
1403.png,Various kitchen utensils are placed on the stove .
1404.png,Various kitchen utensils are placed on the stove .
1405.png,Various kitchen utensils are placed on the stove .
1406.png,Various kitchen utensils are placed on the stove .
1407.png,Various kitchen utensils are placed on the stove .
1408.png,Various kitchen utensils are placed on the stove .
1409.png,Various kitchen utensils are placed on the stove .
1415.png,Open the cupboard and take out the kitchenware .
1416.png,Open the cupboard and take out the kitchenware .
1417.png,The table is filled with tableware .
1420.png,Open the refrigerator and take something out .
1421.png,Open the refrigerator and take something out .
1422.png,Open the refrigerator and take something out .
1423.png,Open the refrigerator and take something out .
1426.png,Crack the eggs into a bowl .
1427.png,Crack the eggs into a bowl .
1428.png,Crack the eggs into a bowl .
1429.png,Crack the eggs into a bowl .
1430.png,Crack the eggs into a bowl .
1431.png,Crack the eggs into a bowl .
1434.png,Crack the eggs into a bowl .
1435.png,Crack the eggs into a bowl .
1436.png,Crack the eggs into a bowl .
1437.png,Crack the eggs into a bowl .
1438.png,Crack the eggs into a bowl .
1439.png,Crack the eggs into a bowl .
1440.png,Crack the eggs into a bowl .
1441.png,Crack the eggs into a bowl .
1442.png,Crack the eggs into a bowl .
1443.png,Crack the eggs into a bowl .
1444.png,Crack the eggs into a bowl .
1445.png,Crack the eggs into a bowl .
1446.png,Crack the eggs into a bowl .
1447.png,Crack the eggs into a bowl .
1448.png,Crack the eggs into a bowl .
1449.png,Crack the eggs into a bowl .
1450.png,Crack the eggs into a bowl .
1451.png,Crack the eggs into a bowl .
1452.png,Throw things into the trash can .
1453.png,Throw things into the trash can .
1454.png,Crack the eggs into a bowl .
1455.png,Crack the eggs into a bowl .
1456.png,Crack the eggs into a bowl .
1457.png,Crack the eggs into a bowl .
1458.png,Crack the eggs into a bowl .
1459.png,Crack the eggs into a bowl .
1460.png,Crack the eggs into a bowl .
1461.png,Crack the eggs into a bowl .
1462.png,Crack the eggs into a bowl .
1463.png,Crack the eggs into a bowl .
1464.png,Crack the eggs into a bowl .
1465.png,Crack the eggs into a bowl .
1466.png,Crack the eggs into a bowl .
1467.png,Crack the eggs into a bowl .
1468.png,Crack the eggs into a bowl .
1469.png,Crack the eggs into a bowl .
1470.png,Crack the eggs into a bowl .
1471.png,Crack the eggs into a bowl .
1472.png,Crack the eggs into a bowl .
1473.png,Crack the eggs into a bowl .
1474.png,Crack the eggs into a bowl .
1475.png,Crack the eggs into a bowl .
1476.png,Crack the eggs into a bowl .
1477.png,Crack the eggs into a bowl .
1478.png,Crack the eggs into a bowl .
1479.png,Crack the eggs into a bowl .
1480.png,Crack the eggs into a bowl .
1481.png,Crack the eggs into a bowl .
1482.png,Crack the eggs into a bowl .
1483.png,Crack the eggs into a bowl .
1484.png,Crack the eggs into a bowl .
1485.png,Crack the eggs into a bowl .
1486.png,Crack the eggs into a bowl .
1487.png,Crack the eggs into a bowl .
1488.png,Crack the eggs into a bowl .
1489.png,Crack the eggs into a bowl .
1490.png,Crack the eggs into a bowl .
1491.png,Crack the eggs into a bowl .
1492.png,Crack the eggs into a bowl .
1493.png,Crack the eggs into a bowl .
1494.png,Crack the eggs into a bowl .
1495.png,Crack the eggs into a bowl .
1496.png,Crack the eggs into a bowl .
1497.png,Crack the eggs into a bowl .
1498.png,Crack the eggs into a bowl .
1499.png,Crack the eggs into a bowl .
1500.png,Crack the eggs into a bowl .
1501.png,Crack the eggs into a bowl .
1502.png,Crack the eggs into a bowl .
1503.png,Crack the eggs into a bowl .
1504.png,Crack the eggs into a bowl .
1505.png,Crack the eggs into a bowl .
1506.png,Crack the eggs into a bowl .
1507.png,Crack the eggs into a bowl .
1508.png,Crack the eggs into a bowl .
1509.png,Crack the eggs into a bowl .
1510.png,Crack the eggs into a bowl .
1511.png,Crack the eggs into a bowl .
1512.png,Crack the eggs into a bowl .
1513.png,Crack the eggs into a bowl .
1514.png,Crack the eggs into a bowl .
1515.png,Crack the eggs into a bowl .
1516.png,Crack the eggs into a bowl .
1517.png,Crack the eggs into a bowl .
1518.png,Crack the eggs into a bowl .
1520.png,Throw things into the trash can .
1521.png,Washing hands at the sink .
1522.png,Washing hands at the sink .
1523.png,Washing hands at the sink .
1524.png,Washing hands at the sink .
1525.png,Washing hands at the sink .
1526.png,Washing hands at the sink .
1527.png,Washing hands at the sink .
1528.png,Washing hands at the sink .
1529.png,Washing hands at the sink .
1530.png,Various kitchen utensils are placed on the stove .
1531.png,Various kitchen utensils are placed on the stove .
1532.png,Various kitchen utensils are placed on the stove .
1533.png,Various kitchen utensils are placed on the stove .
1534.png,Various kitchen utensils are placed on the stove .
1535.png,Various kitchen utensils are placed on the stove .
1536.png,Various kitchen utensils are placed on the stove .
1537.png,Various kitchen utensils are placed on the stove .
1539.png,Open the drawer full of kitchen utensils .
1540.png,Open the drawer full of kitchen utensils .
1541.png,Open the drawer full of kitchen utensils .
1542.png,Open the drawer full of kitchen utensils .
1543.png,Open the drawer full of kitchen utensils .
1544.png,Open the drawer full of kitchen utensils .
1547.png,Open the cupboard and take out something .
1548.png,Open the cupboard and take out something .
1549.png,Open the cupboard and take out something .
1550.png,Open the cupboard and take out something .
1551.png,Open the cupboard and take out something .
1552.png,Open the cupboard and take out something .
1553.png,Open the cupboard and take out something .
1554.png,Open the cupboard and take out something .
1555.png,Open the cupboard and take out something .
1556.png,Open the cupboard and take out something .
1557.png,Open the cupboard and take out something .
1559.png,Open the plastic box of seasonings to add to the food .
1560.png,Open the plastic box of seasonings to add to the food .
1561.png,Open the plastic box of seasonings to add to the food .
1562.png,Open the plastic box of seasonings to add to the food .
1563.png,Open the plastic box of seasonings to add to the food .
1564.png,Open the plastic box of seasonings to add to the food .
1565.png,Open the plastic box of seasonings to add to the food .
1566.png,Open the plastic box of seasonings to add to the food .
1567.png,Open the plastic box of seasonings to add to the food .
1568.png,Open the plastic box of seasonings to add to the food .
1569.png,Open the plastic box of seasonings to add to the food .
1570.png,Open the plastic box of seasonings to add to the food .
1571.png,Open the plastic box of seasonings to add to the food .
1572.png,Open the plastic box of seasonings to add to the food .
1573.png,Open the plastic box of seasonings to add to the food .
1574.png,Open the plastic box of seasonings to add to the food .
1575.png,Open the plastic box of seasonings to add to the food .
1576.png,Open the plastic box of seasonings to add to the food .
1577.png,Open the plastic box of seasonings to add to the food .
1578.png,Open the plastic box of seasonings to add to the food .
1579.png,Open the plastic box of seasonings to add to the food .
1580.png,Open the plastic box of seasonings to add to the food .
1581.png,Open the plastic box of seasonings to add to the food .
1582.png,Open the plastic box of seasonings to add to the food .
1583.png,Open the plastic box of seasonings to add to the food .
1584.png,Open the plastic box of seasonings to add to the food .
1585.png,Open the plastic box of seasonings to add to the food .
1586.png,Open the plastic box of seasonings to add to the food .
1587.png,Open the plastic box of seasonings to add to the food .
1588.png,There's a lot of kitchenware around the sink. .
1589.png,Put something in the cupboard. .
1590.png,Put something in the cupboard. .
1591.png,take something out of the cupboard .
1592.png,take something out of the cupboard .
1593.png,take something out of the cupboard .
1595.png,There's a lot of kitchenware around the sink. .
1596.png,There's a lot of kitchenware around the sink. .
1597.png,Pour the seasoning into the food .
1598.png,Pour the seasoning into the food .
1599.png,Pour the seasoning into the food .
1600.png,Pour the seasoning into the food .
1601.png,Pour the seasoning into the food .
1602.png,Pour the seasoning into the food .
1603.png,Pour the seasoning into the food .
1604.png,There's a lot of kitchenware around the sink. .
1605.png,There's a lot of kitchenware around the sink. .
1606.png,Open the cupboards and put things in. .
1607.png,Open the cupboards and put things in. .
1608.png,Open the cupboards and put things in. .
1609.png,Open the cupboards and put things in. .
1610.png,Open the cupboards and put things in. .
1611.png,Open the cupboards and put things in. .
1612.png,Open the cupboards and put things in. .
1613.png,There's a lot of kitchenware around the sink. .
1614.png,There's a lot of kitchenware around the sink. .
1615.png,There's a lot of kitchenware around the sink. .
1616.png,Pour the seasoning into the food .
1617.png,Pour the seasoning into the food .
1618.png,Pour the seasoning into the food .
1619.png,Pour the seasoning into the food .
1620.png,Pour the seasoning into the food .
1621.png,Pour the seasoning into the food .
1623.png,Open the cupboard and take out something .
1624.png,Open the cupboard and take out something .
1625.png,Open the cupboard and take out something .
1626.png,Open the cupboard and take out something .
1627.png,Open the cupboard and take out something .
1628.png,Open the cupboard and take out something .
1632.png,Pour the seasoning into the food .
1633.png,Pour the seasoning into the food .
1634.png,Pour the seasoning into the food .
1635.png,Pour the seasoning into the food .
1636.png,Pour the seasoning into the food .
1637.png,Pour the seasoning into the food .
1638.png,Pour the seasoning into the food .
1639.png,Pour the seasoning into the food .
1640.png,Pour the seasoning into the food .
1641.png,Pour the seasoning into the food .
1642.png,There's a lot of kitchenware around the sink. .
1643.png,Cooking food in a pan .
1644.png,Cooking food in a pan .
1645.png,Cooking food in a pan .
1646.png,Cooking food in a pan .
1647.png,Cooking food in a pan .
1648.png,Cooking food in a pan .
1649.png,Cooking food in a pan .
1650.png,Cooking food in a pan .
1651.png,Cooking food in a pan .
1653.png,Open the fridge and get something. .
1654.png,Open the fridge and get something. .
1655.png,Open the fridge and get something. .
1656.png,Cooking food in a pan .
1657.png,Cooking food in a pan .
1658.png,Cooking food in a pan .
1659.png,Cooking food in a pan .
1660.png,Cooking food in a pan .
1662.png,Handling ingredients .
1663.png,Handling ingredients .
1664.png,Handling ingredients .
1665.png,Handling ingredients .
1666.png,Handling ingredients .
1667.png,Handling ingredients .
1668.png,Handling ingredients .
1669.png,Handling ingredients .
1670.png,Handling ingredients .
1671.png,Handling ingredients .
1672.png,Handling ingredients .
1673.png,Handling ingredients .
1674.png,Handling ingredients .
1675.png,Handling ingredients .
1676.png,Handling ingredients .
1677.png,Handling ingredients .
1678.png,Handling ingredients .
1679.png,Handling ingredients .
1680.png,Handling ingredients .
1681.png,Handling ingredients .
1682.png,Handling ingredients .
1683.png,Handling ingredients .
1684.png,Handling ingredients .
1685.png,Handling ingredients .
1686.png,Handling ingredients .
1687.png,Handling ingredients .
1688.png,Handling ingredients .
1689.png,Pour oil into the pan. .
1690.png,Pour oil into the pan. .
1691.png,Pour oil into the pan. .
1692.png,Pour oil into the pan. .
1693.png,Pour oil into the pan. .
1694.png,Pour oil into the pan. .
1695.png,Pour oil into the pan. .
1696.png,Pour oil into the pan. .
1697.png,Pour oil into the pan. .
1698.png,Pour oil into the pan. .
1699.png,Wipe your hands clean with paper. .
1700.png,Wipe your hands clean with paper. .
1701.png,Wipe your hands clean with paper. .
1702.png,Wipe your hands clean with paper. .
1703.png,Wipe your hands clean with paper. .
1704.png,Wipe your hands clean with paper. .
1705.png,Wipe your hands clean with paper. .
1706.png,Wipe your hands clean with paper. .
1707.png,Wipe your hands clean with paper. .
1708.png,Wipe your hands clean with paper. .
1709.png,Wipe your hands clean with paper. .
1710.png,Taking food out of the bag and shaping it .
1711.png,Taking food out of the bag and shaping it .
1712.png,Taking food out of the bag and shaping it .
1713.png,Taking food out of the bag and shaping it .
1714.png,Taking food out of the bag and shaping it .
1715.png,Taking food out of the bag and shaping it .
1716.png,Taking food out of the bag and shaping it .
1717.png,Taking food out of the bag and shaping it .
1718.png,Taking food out of the bag and shaping it .
1719.png,Taking food out of the bag and shaping it .
1720.png,Taking food out of the bag and shaping it .
1721.png,Taking food out of the bag and shaping it .
1722.png,Taking food out of the bag and shaping it .
1723.png,Taking food out of the bag and shaping it .
1724.png,Put the food in the pot. .
1725.png,Put the food in the pot. .
1726.png,Taking food out of the bag and shaping it .
1727.png,Taking food out of the bag and shaping it .
1728.png,Taking food out of the bag and shaping it .
1729.png,Taking food out of the bag and shaping it .
1730.png,Taking food out of the bag and shaping it .
1731.png,Taking food out of the bag and shaping it .
1732.png,Taking food out of the bag and shaping it .
1733.png,Taking food out of the bag and shaping it .
1734.png,Taking food out of the bag and shaping it .
1735.png,Taking food out of the bag and shaping it .
1736.png,Taking food out of the bag and shaping it .
1737.png,Taking food out of the bag and shaping it .
1738.png,Taking food out of the bag and shaping it .
1739.png,Taking food out of the bag and shaping it .
1740.png,Put the food in the pot. .
1741.png,Put the food in the pot. .
1742.png,Taking food out of the bag and shaping it .
1743.png,Taking food out of the bag and shaping it .
1744.png,Taking food out of the bag and shaping it .
1745.png,Taking food out of the bag and shaping it .
1746.png,Taking food out of the bag and shaping it .
1747.png,Taking food out of the bag and shaping it .
1748.png,Taking food out of the bag and shaping it .
1749.png,Taking food out of the bag and shaping it .
1750.png,Taking food out of the bag and shaping it .
1751.png,Taking food out of the bag and shaping it .
1752.png,Taking food out of the bag and shaping it .
1753.png,Taking food out of the bag and shaping it .
1754.png,Taking food out of the bag and shaping it .
1755.png,Taking food out of the bag and shaping it .
1756.png,Taking food out of the bag and shaping it .
1757.png,Taking food out of the bag and shaping it .
1758.png,Taking food out of the bag and shaping it .
1759.png,Taking food out of the bag and shaping it .
1760.png,Taking food out of the bag and shaping it .
1761.png,Taking food out of the bag and shaping it .
1762.png,Taking food out of the bag and shaping it .
1763.png,Taking food out of the bag and shaping it .
1764.png,Taking food out of the bag and shaping it .
1765.png,Taking food out of the bag and shaping it .
1766.png,Taking food out of the bag and shaping it .
1767.png,Put the food in the pot. .
1768.png,Put the food in the pot. .
1769.png,Put the food in the pot. .
1770.png,Taking food out of the bag and shaping it .
1771.png,Taking food out of the bag and shaping it .
1772.png,Taking food out of the bag and shaping it .
1773.png,Taking food out of the bag and shaping it .
1774.png,Taking food out of the bag and shaping it .
1775.png,Taking food out of the bag and shaping it .
1776.png,Taking food out of the bag and shaping it .
1777.png,Taking food out of the bag and shaping it .
1778.png,Taking food out of the bag and shaping it .
1779.png,Taking food out of the bag and shaping it .
1780.png,Taking food out of the bag and shaping it .
1781.png,Taking food out of the bag and shaping it .
1782.png,Taking food out of the bag and shaping it .
1783.png,Taking food out of the bag and shaping it .
1784.png,Taking food out of the bag and shaping it .
1785.png,Put food in the pot. .
1786.png,Put food in the pot. .
1787.png,Put food in the pot. .
1788.png,Taking food out of the bag and shaping it .
1789.png,Taking food out of the bag and shaping it .
1790.png,Taking food out of the bag and shaping it .
1791.png,Taking food out of the bag and shaping it .
1792.png,Taking food out of the bag and shaping it .
1793.png,Taking food out of the bag and shaping it .
1794.png,Taking food out of the bag and shaping it .
1795.png,Taking food out of the bag and shaping it .
1796.png,Taking food out of the bag and shaping it .
1797.png,Taking food out of the bag and shaping it .
1798.png,Taking food out of the bag and shaping it .
1799.png,Taking food out of the bag and shaping it .
1800.png,Put food in the pot. .
1801.png,Put food in the pot. .
1802.png,Taking food out of the bag and shaping it .
1803.png,Taking food out of the bag and shaping it .
1804.png,Taking food out of the bag and shaping it .
1805.png,Taking food out of the bag and shaping it .
1806.png,Taking food out of the bag and shaping it .
1807.png,Taking food out of the bag and shaping it .
1808.png,Taking food out of the bag and shaping it .
1809.png,Taking food out of the bag and shaping it .
1810.png,Taking food out of the bag and shaping it .
1811.png,Taking food out of the bag and shaping it .
1812.png,Taking food out of the bag and shaping it .
1813.png,Taking food out of the bag and shaping it .
1814.png,Taking food out of the bag and shaping it .
1815.png,Taking food out of the bag and shaping it .
1816.png,Taking food out of the bag and shaping it .
1817.png,Taking food out of the bag and shaping it .
1818.png,Put food in the pot. .
1819.png,Put food in the pot. .
1820.png,Put food in the pot. .
1821.png,Put food in the pot. .
1823.png,Turn on the tap and wash your hands .
1824.png,Turn on the tap and wash your hands .
